IDStudy,t,PCC,SE PCC,quadratic,Zscore,NPL,profitability,profit_volat,capitalization,dummies,DtoD,Lerner,Hstatistic,Concentration,HHI,Boone,developed,undeveloped,GMM,2SLS,Logit,FE,RE,OLS,T,Samplesize,endogeneity,macro,someAveraged,sampleyear,IFrecursive,citations,reviewed_journal,regulation,global,ownership,firstpub,investperst
5,-2.867704280155642,-0.09081091733636862,0.03166676493276355,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-2.1611570247933884,-0.06855909919993561,0.031723330796146115,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-3.181451612903226,-0.10065054732593257,0.03163667393768223,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-2.1444444444444444,-0.06855079490920063,0.03196669192657024,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,974,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-3.434959349593496,-0.10940254554992523,0.031849735154179416,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,974,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
6,-2.4416562107904642,-0.07740719604813497,0.03170274164972434,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.744,2.451005098112319,0,0,1,0,2,0.041666666666666664
6,-3.5638554216867475,-0.10478750731256374,0.02940285026011761,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,1144,0,1,0,0.0,0.744,2.451005098112319,0,0,1,0,2,0.041666666666666664
6,-2.2704149933065594,-0.06697550260342373,0.029499233752805148,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,1144,0,1,0,0.0,0.744,2.451005098112319,0,0,1,0,2,0.041666666666666664
6,-2.6181818181818186,-0.12823523135140857,0.04897873419671855,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,410,1,1,0,0.0,0.744,2.451005098112319,0,0,1,0,2,0.041666666666666664
6,-1.9962732919254658,-0.06335029315485029,0.03173427877389825,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.744,2.451005098112319,0,0,1,0,2,0.041666666666666664
6,-2.314930991217064,-0.07341190015714923,0.0317123492819772,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.744,2.451005098112319,0,0,1,0,2,0.041666666666666664
6,-2.5964601769911506,-0.08228266306574025,0.031690323539293276,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.744,2.451005098112319,0,1,1,0,2,0.041666666666666664
