id,idstudy,country,startyear,endyear,eis,se,micro,panel,quasipan,sepdur,sepgov,septrd,seplab,seprisk,habits,inverse,secord,exact,yearfe,totalc,food,tastes,ml,tsls,coint,ols,bayes,income,inflinst,firstlag,stockhold,nonstock,irstock,ircap,idcountry,annual,monthly,periods,obs,csunits,years,avyear,top,impact,cits,yearcits,pubyear,comb,study,perstudy,last,gdppc,finref,eascredit,marketpartic,education,gini,realrate,inflation,growth,lifeexp,politstab,ruleoflaw,trust
44,2,USA,1959,1978,0.017167381974248927,0.019619444086278987,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,112,0,1,239,239,1.0,19.916666,1968.5,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,1,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
45,3,USA,1947,1981,4.273504273504273,3.999561691869384,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
46,3,USA,1947,1981,5.74712643678161,6.572862993790462,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
47,3,USA,1947,1981,1.953125,0.736236572265625,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
48,3,USA,1947,1981,3.0303030303030303,2.176308539944903,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
49,3,USA,1947,1981,10.869565217391305,24.692816635160682,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
50,3,USA,1947,1981,3.003003003003003,1.6412809205601995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
51,3,USA,1947,1981,0.8944543828264757,94.50974619256849,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
52,3,USA,1947,1981,3.8910505836575875,23.73995064270466,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
53,3,USA,1947,1981,2.6666666666666665,9.258666666666667,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
54,3,USA,1947,1981,-4.901960784313726,383.02575932333724,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
55,3,USA,1947,1981,6.802721088435375,190.29108241936234,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
56,3,USA,1947,1981,1.2515644555694618,0.6156005394728391,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
57,3,USA,1947,1981,0.7107320540156361,0.015154201578158551,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
58,3,USA,1947,1981,0.5952380952380952,0.011692176870748302,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
59,3,USA,1947,1981,0.5837711617046117,0.01192760692332832,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
60,3,USA,1947,1981,1.2674271229404308,0.027308315703405986,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,112,0,0,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0,18887.967,0.66269845,3.7551482,0.26,10.14725,41.747566,2.5653713,5.551786,3.6838431,71.43714,0.54,1.6,41.51057
