id,idstudy,eis,se,micro,panel,quasipan,sepdur,sepgov,septrd,seplab,seprisk,habits,inverse,secord,exact,yearfe,totalc,food,tastes,ml,tsls,coint,ols,bayes,income,inflinst,firstlag,stockhold,nonstock,irstock,ircap,country,idcountry,annual,monthly,startyear,endyear,periods,obs,csunits,years,avyear,top,impact,cits,yearcits,pubyear,comb,study,perstudy,last
49,3,10.869565217391305,24.692816635160682,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
50,3,3.003003003003003,1.6412809205601995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
51,3,0.8944543828264757,94.50974619256849,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
52,3,3.8910505836575875,23.73995064270466,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
53,3,2.6666666666666665,9.258666666666667,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
54,3,-4.901960784313726,383.02575932333724,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
55,3,6.802721088435375,190.29108241936234,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
56,3,1.2515644555694618,0.6156005394728391,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
57,3,0.7107320540156361,0.015154201578158551,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
58,3,0.5952380952380952,0.011692176870748302,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
59,3,0.5837711617046117,0.01192760692332832,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
60,3,1.2674271229404308,0.027308315703405986,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
61,3,1.124859392575928,0.017714321142928,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
62,3,1.0775862068965516,0.02090145659928656,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,1
63,164,0.252,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1948,1980,132,132,1.0,33.0,1964.0,0,0.118,134,4.1875,1981,0,Mankiw (1981),3,0
64,164,0.194,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1948,1980,132,132,1.0,33.0,1964.0,0,0.118,134,4.1875,1981,0,Mankiw (1981),3,0
65,164,0.172,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1948,1980,132,132,1.0,33.0,1964.0,0,0.118,134,4.1875,1981,0,Mankiw (1981),3,1
66,165,2.08,3.27,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,USA,112,1,0,1978,1980,3,3759,1253.0,3.0,1979.0,0,0.118,86,2.9655173,1984,1,Shapiro (1984),4,0
67,165,2.0,3.26,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,USA,112,1,0,1978,1980,3,3759,1253.0,3.0,1979.0,0,0.118,86,2.9655173,1984,1,Shapiro (1984),4,0
