idstudy,idauthor,study,discrate,standard_error,hyperbolic_discounting,exponential_discounting,delay,frontend_delay,lab_experiment,real_reward,matching_task,health_domain,other_domain,negative_framing,neutral_framing,stakes,sample_size,students,males_only,females_only,north_america,asia,africa,citations,publication_year,elicitation_method,discounting,domain,money_domain,nobs,instrument,country,continent,impact_factor,year,invperst,invperst_origse
37,2,Andersen et al. (2013),0.11900000000000001,,0,1,0.0,0,0,1,0,0,0,0,0,0.8910723598039801,4.6913478822291435,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,109.0,0.09578262852211514,Denmark,Europe,0.531,2013,0.07692307692307693,
37,2,Andersen et al. (2013),0.102,,0,1,0.0,1,0,1,0,0,0,0,0,0.7945191183017244,4.59511985013459,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,99.0,0.10050378152592121,Denmark,Europe,0.531,2013,0.07692307692307693,
37,2,Andersen et al. (2013),0.051,,0,1,0.0,1,0,1,0,0,0,0,0,0.7945191183017244,3.8066624897703196,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,45.0,0.14907119849998599,Denmark,Europe,0.531,2013,0.07692307692307693,
37,2,Andersen et al. (2013),0.073,,0,1,0.0,1,0,1,0,0,0,0,0,0.8910723598039801,3.8066624897703196,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,45.0,0.14907119849998599,Denmark,Europe,0.531,2013,0.07692307692307693,
37,2,Andersen et al. (2013),0.11599999999999999,,0,1,0.0,1,0,1,0,0,0,0,0,0.8910723598039801,4.007333185232471,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,55.0,0.13483997249264842,Denmark,Europe,0.531,2013,0.07692307692307693,
38,6,Booij & van Praag (2009),1.0190409943227756,0.5215445,0,1,0.0,0,0,0,1,0,0,0,0,1.9121260920666252,7.513163545234075,0,0,0,0,0,0,1.4469189829363254,0.5430789503916372,matching,exponential,money,1,1832.0,0.023363465675799888,Netherlands,Europe,0.384,2009,0.2,0.2
38,6,Booij & van Praag (2009),1.0190409943227756,0.498543,0,1,0.0,0,0,0,1,0,0,0,0,1.9121260920666252,7.513163545234075,0,0,0,0,0,0,1.4469189829363254,0.5430789503916372,matching,exponential,money,1,1832.0,0.023363465675799888,Netherlands,Europe,0.384,2009,0.2,0.2
38,6,Booij & van Praag (2009),1.0167571191882212,0.512984,0,1,0.0,0,0,0,1,0,0,0,0,1.9121260920666252,7.513163545234075,0,0,0,0,0,0,1.4469189829363254,0.5430789503916372,matching,exponential,money,1,1832.0,0.023363465675799888,Netherlands,Europe,0.384,2009,0.2,0.2
38,6,Booij & van Praag (2009),1.0167571191882212,0.5025455,0,1,0.0,0,0,0,1,0,0,0,0,1.9121260920666252,7.513163545234075,0,0,0,0,0,0,1.4469189829363254,0.5430789503916372,matching,exponential,money,1,1832.0,0.023363465675799888,Netherlands,Europe,0.384,2009,0.2,0.2
38,6,Booij & van Praag (2009),1.0144756124367995,0.5458412,0,1,0.0,0,0,0,1,0,0,0,0,1.9121260920666252,7.513163545234075,0,0,0,0,0,0,1.4469189829363254,0.5430789503916372,matching,exponential,money,1,1832.0,0.023363465675799888,Netherlands,Europe,0.384,2009,0.2,0.2
39,19,Field et al. (2013),0.18899999999999997,0.2875642,0,0,-2.4849066497880004,0,0,1,0,0,0,0,0,0.3366422301062647,6.739336627357174,0,0,1,0,1,0,3.4258899942525267,0.9508830710988468,choice,na,money,1,845.0,0.034401045807689073,India,Asia,2.329,2013,1.0,1.0
40,2,Andersen et al. (2010),0.25,0.13622448979591836,0,0,0.6931471805599453,1,0,1,0,0,0,0,0,0.9903045386769452,5.53338948872752,0,0,0,0,0,0,2.4924538554233835,0.6450299805684396,choice,na,money,1,253.0,0.06286946134619315,Denmark,Europe,0.384,2010,0.5,0.5
