idstudy,e,se,t,prec,longr,pubdate,cs,tscs,usdata,csection
6,-0.84,0.47,-1.7872340425531916,2.127659574468085,1,1994,0,0,0,0
6,-0.27,0.12,-2.2500000000000004,8.333333333333334,0,1994,0,0,0,0
6,-0.32,0.1592039800995025,-2.01,6.281249999999999,0,1994,0,0,0,0
7,-0.646,0.14681818181818182,-4.4,6.811145510835913,1,1985,0,1,0,1
7,-0.171,0.06404494382022473,-2.67,15.614035087719296,0,1985,0,0,0,0
7,-0.236,0.0732919254658385,-3.22,13.644067796610171,0,1985,0,0,0,0
8,-0.075,0.013,-5.769230769230769,76.92307692307692,0,1982,0,1,1,1
8,-0.0657,0.0169,-3.8875739644970415,59.1715976331361,0,1982,0,1,1,1
8,-0.1739,0.0352,-4.940340909090909,28.409090909090907,0,1982,0,1,1,1
8,-0.5256,0.0668,-7.868263473053892,14.970059880239521,0,1982,0,1,1,1
8,-0.122,0.09854604200323101,-1.238,10.147540983606557,0,1982,0,1,1,1
10,-0.358,0.06624722427831235,-5.404000000000001,15.094972067039109,1,1978,0,1,0,1
10,-1.048,0.14369943781708489,-7.293,6.958969465648854,1,1978,0,1,1,1
10,-0.46,0.32303370786516855,-1.424,3.0956521739130434,1,1978,0,1,0,1
10,-0.442,0.2596944770857814,-1.7020000000000002,3.8506787330316743,0,1978,0,0,1,0
11,-0.442,0.2596944770857814,-1.7020000000000002,3.8506787330316743,0,1979,0,0,1,0
12,-0.98,0.10594594594594595,-9.25,9.438775510204081,1,1982,0,1,0,1
12,-0.13,0.020155038759689922,-6.45,49.61538461538461,0,1982,0,1,0,1
12,-0.2,0.030674846625766874,-6.52,32.599999999999994,0,1982,0,1,0,1
13,-0.82,0.0863157894736842,-9.5,11.585365853658537,1,1984,0,0,0,0
13,-0.89,0.11410256410256411,-7.799999999999999,8.764044943820224,1,1984,0,0,0,0
13,-0.58,0.12083333333333333,-4.8,8.275862068965518,1,1984,0,0,0,0
13,-0.82,0.14909090909090908,-5.5,6.707317073170732,1,1984,0,0,0,0
13,-0.7,0.19444444444444442,-3.6,5.142857142857143,1,1984,0,0,1,0
13,-0.55,0.19642857142857145,-2.8,5.09090909090909,1,1984,0,0,0,0
13,-0.73,0.20277777777777778,-3.6,4.931506849315069,1,1984,0,0,1,0
13,-1.2,0.2727272727272727,-4.4,3.666666666666667,1,1984,0,0,0,0
13,-0.62,0.2818181818181818,-2.2,3.548387096774194,1,1984,0,0,0,0
13,-0.44,0.036065573770491806,-12.2,27.727272727272727,0,1984,0,0,0,0
13,-0.35,0.03723404255319149,-9.4,26.857142857142858,0,1984,0,0,1,0
